model,term,coef,std_err,p_value,n_obs,r_squared
Heterogeneity_joint,Intercept,3.7792226779853886,0.16931034593494534,2.2965035374407228e-110,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2016],-0.15987131021387785,0.042343384775374776,0.0001596286161125744,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2022],-0.17113686798792282,0.05173223755313796,0.0009392184249630736,86625,0.012792223588972806
Heterogeneity_joint,YOUNG,0.024629072750280995,0.05720235704342965,0.6667880017167254,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2016]:YOUNG,-0.15538733090536566,0.06665207795455677,0.01973648565102454,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2022]:YOUNG,-0.20112122068484792,0.08185656787388247,0.014010443318824303,86625,0.012792223588972806
Heterogeneity_joint,COLLEGE,-0.09211375967736589,0.058608778540317784,0.11602670438414986,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2016]:COLLEGE,0.10343400980770714,0.06314871207829692,0.10143352237572832,86625,0.012792223588972806
Heterogeneity_joint,C(YEAR)[T.2022]:COLLEGE,0.01568467891340406,0.0730219241047921,0.8299278483101875,86625,0.012792223588972806
Heterogeneity_joint,LOG_INCOME_ADJ,-0.054024037961399346,0.013007027813924155,3.2749998699193176e-05,86625,0.012792223588972806
Heterogeneity_joint,AGE,0.004162477049041657,0.001252255370057017,0.0008874122734591976,86625,0.012792223588972806
Heterogeneity_joint,EDUC,-0.0021525064854180497,0.008095971942542473,0.7903364359546482,86625,0.012792223588972806
Heterogeneity_joint,LOG_NETWORTH,-0.005881764434959726,0.0020096748374421078,0.0034255225706095417,86625,0.012792223588972806
Heterogeneity_joint,DEBT2INC,0.001019106651475343,0.0023713471563762494,0.6673713072378973,86625,0.012792223588972806
