YEAR,Good idea,Mixed,Bad idea
2010,21.918115259662397,41.95097110836229,36.13091363197532
2016,25.91754226335062,42.35316072928268,31.729297007366696
2022,26.518081581216702,43.96691669557062,29.515001723212684
