term,coef,std_err,p_value,stars,coef_se,model
Intercept,3.7186535826771374,0.13934307603766122,6.656313656129442e-157,***,3.7187*** (0.1393),X401_main
C(YEAR)[T.2016],-0.17179087349198394,0.030139868664142675,1.1995623526074681e-08,***,-0.1718*** (0.0301),X401_main
C(YEAR)[T.2022],-0.22836847634581,0.03624971770414093,2.9789711897268114e-10,***,-0.2284*** (0.0362),X401_main
LOG_INCOME_ADJ,-0.05231647046182585,0.012835716378466176,4.58463231231982e-05,***,-0.0523*** (0.0128),X401_main
AGE,0.0058188725044670455,0.0008727880101252475,2.610956045620238e-11,***,0.0058*** (0.0009),X401_main
EDUC,-0.008994409135534493,0.005324274028943582,0.09115788764195931,*,-0.0090* (0.0053),X401_main
LOG_NETWORTH,-0.005923013435967138,0.0020076992900420437,0.003176200041858422,***,-0.0059*** (0.0020),X401_main
DEBT2INC,0.0011109071912150906,0.002325668475324455,0.6328835295171797,,0.0011 (0.0023),X401_main
