term,coef,std_err,p_value,stars,coef_se,model
Intercept,-2.143853231175811,0.7120565425749533,0.002605683753544972,***,-2.1439*** (0.7121),Debt_behavior
C(YEAR)[T.2016],0.0642589758332495,0.08946040310770279,0.4725753050818373,,0.0643 (0.0895),Debt_behavior
C(YEAR)[T.2022],0.21638241494300361,0.10648909790808418,0.04215691875096823,**,0.2164** (0.1065),Debt_behavior
X401,-0.2003472017121024,0.026412524950702967,3.316918827784088e-14,***,-0.2003*** (0.0264),Debt_behavior
LOG_INCOME_ADJ,1.0520356554084573,0.0685340874903551,3.512184584508235e-53,***,1.0520*** (0.0685),Debt_behavior
AGE,-0.05503794031428272,0.00271640437012552,2.8228789126274894e-91,***,-0.0550*** (0.0027),Debt_behavior
EDUC,0.2751154204146103,0.01820076900515079,1.2781485804891126e-51,***,0.2751*** (0.0182),Debt_behavior
LOG_NETWORTH,-0.06328490649336056,0.004609214253141534,6.705419747095957e-43,***,-0.0633*** (0.0046),Debt_behavior
